Time (s),Spleen (a.u.),Liver (a.u.)
0.000000,4.33394,5.69017
57.0000,4.40207,5.50656
114.000,4.40058,5.45101
171.000,4.33603,5.79923
228.000,4.35748,5.52356
285.000,6.36044,7.88317
342.000,5.71625,8.03667
399.000,4.88281,7.87331
456.000,5.48995,7.47647
513.000,5.29154,8.14273
570.000,4.94913,8.28228
627.000,4.80507,8.81041
684.000,5.22289,7.65839
741.000,4.88132,7.83119
798.000,5.02922,7.22222
855.000,4.94125,8.06162
912.000,4.87326,7.40183
969.000,4.74703,7.62950
1026.00,4.65627,7.48224
1083.00,5.02237,7.67474
1140.00,5.03447,7.14507
1197.00,5.74217,6.93113
1254.00,5.22358,7.17087
1311.00,5.26668,6.96720
1368.00,4.75159,6.83096
1425.00,5.26298,6.96699
1482.00,5.26238,6.97756
1539.00,5.04032,7.14170
1596.00,4.92106,6.87932
1653.00,4.59723,7.14665
