Time (s),Spleen (a.u.),Liver (a.u.)
0.000000,2.65032,3.08646
57.0000,2.67126,3.05994
114.000,2.66946,3.06108
171.000,2.69982,3.07832
228.000,2.66005,3.08906
285.000,5.04310,3.65146
342.000,3.87259,3.76187
399.000,3.61033,3.78386
456.000,3.43982,3.80124
513.000,3.25600,3.79395
570.000,3.23319,3.80665
627.000,3.11933,3.81298
684.000,3.09367,3.74285
741.000,3.03769,3.70753
798.000,3.03321,3.68886
855.000,3.06728,3.64165
912.000,2.93049,3.69710
969.000,3.03346,3.62627
1026.00,3.07158,3.58537
1083.00,3.05841,3.56973
1140.00,3.05770,3.54650
1197.00,2.91993,3.57372
1254.00,2.90359,3.49392
1311.00,2.97937,3.43085
1368.00,2.82733,3.44328
1425.00,2.86539,3.41506
1482.00,2.84832,3.42676
1539.00,2.82746,3.44392
1596.00,2.87313,3.41365
1653.00,2.89729,3.31003
